kepid,kepoi_name,koi_disposition,koi_period,koi_depth
8107380,K00162.01,CONFIRMED,14.00640392,716.4
6936909,K01363.01,CONFIRMED,3.546531809,442.7
6936909,K01363.02,CONFIRMED,5.70070626,379.8
6962977,K01364.01,CONFIRMED,20.8341497,803.1
6962977,K01364.02,CONFIRMED,7.0556584,705.6
11176127,K01430.01,CONFIRMED,10.47548084,1070.7
11176127,K01430.02,CONFIRMED,22.92886314,908.9
11176127,K01430.03,CONFIRMED,77.4740991,1543.6
11014932,K01432.01,CONFIRMED,6.88595222,428.5
8030148,K00155.01,CONFIRMED,5.660669429,737.8
6693640,K01245.01,CONFIRMED,13.71938426,316.4
10858691,K01306.04,CONFIRMED,29.2214959,394.0
10973814,K01307.01,CONFIRMED,44.8520997,780.8
10973814,K01307.02,CONFIRMED,20.34237838,564.6
6541920,K00157.05,CONFIRMED,118.3786735,1083.3
10586208,K01308.01,CONFIRMED,23.58444746,429.2
6962977,K01364.03,CONFIRMED,11.97884409,707.9
6962977,K01364.04,CONFIRMED,3.71545593,331.7
6962977,K01364.05,CONFIRMED,2.58083264,270.2
6932987,K01366.01,CONFIRMED,19.25404023,987.7
11014932,K01432.02,CONFIRMED,15.0549356,256.4
11014932,K01432.03,CONFIRMED,2.92721119,170.2
11014932,K01432.04,CONFIRMED,38.2856338,322.8
11288505,K01433.01,CONFIRMED,19.80787763,616.3
11493431,K01434.01,CONFIRMED,2.343230566,246.5
10854768,K01309.01,CONFIRMED,10.1171684,288.7
10964440,K01310.01,CONFIRMED,19.12947603,451.2
10713616,K01311.01,CONFIRMED,83.5781976,630.8
10963242,K01312.01,CONFIRMED,6.1469956,249.6
6932987,K01366.02,CONFIRMED,54.1558384,1109.8
8191672,K00018.01,CONFIRMED,3.548465446,7251.5
6851425,K00163.01,CONFIRMED,11.1199028,636.3
6934291,K01367.01,CONFIRMED,0.567856484,334.8
11037335,K01435.01,CONFIRMED,40.7150498,563.9
11037335,K01435.02,CONFIRMED,10.44635944,354.2
11389771,K01436.01,CONFIRMED,2.508553286,211.6
11389771,K01436.02,CONFIRMED,13.75129636,348.5
10925104,K00156.01,CONFIRMED,8.041347775,591.0
10585852,K01314.01,CONFIRMED,8.57504983,160.6
10794087,K01316.01,CONFIRMED,7.64970832,55.4
6541920,K00157.06,CONFIRMED,10.30401132,316.1
7287415,K01369.01,CONFIRMED,3.016182013,222.5
6924203,K01370.01,CONFIRMED,6.8833761,458.4
11389771,K01436.03,CONFIRMED,5.41908491,231.0
11599038,K01437.01,CONFIRMED,7.01733571,255.5
11193263,K01438.01,CONFIRMED,6.91134223,201.7
11027624,K01439.01,CONFIRMED,394.6249514,2013.3
11032227,K01440.01,CONFIRMED,7.19304935,255.3
8751933,K01257.01,CONFIRMED,86.64764448,7311.6
8630788,K01258.01,CONFIRMED,36.33750453,2828.4
8630788,K01258.02,CONFIRMED,14.64613058,593.5
8630788,K01258.03,CONFIRMED,148.272013,1707.4
4164994,K01320.01,CONFIRMED,10.50682978,13355.5
6766634,K01375.01,CONFIRMED,321.2124365,2358.6
7211469,K01377.01,CONFIRMED,11.29689442,198.5
7831264,K00171.01,CONFIRMED,5.968724048,510.6
7532973,K01450.01,CONFIRMED,2.144632238,19836.9
8678594,K01261.01,CONFIRMED,133.460999,5032.9
10925104,K00156.02,CONFIRMED,5.188563677,358.7
8678594,K01261.02,CONFIRMED,15.19423359,367.8
4076098,K01323.01,CONFIRMED,3.990105908,6154.9
4282872,K01325.01,CONFIRMED,10.035381809,2829.7
7211221,K01379.01,CONFIRMED,5.62154315,172.3
11356260,K01441.01,CONFIRMED,8.50698069,295.5
11600889,K01442.01,CONFIRMED,0.669310092,131.8
11043167,K01444.01,CONFIRMED,44.9306706,438.4
8612847,K01264.01,CONFIRMED,14.13175309,1033.0
8547140,K01266.01,CONFIRMED,11.41926141,915.6
4072526,K01329.01,CONFIRMED,33.1996355,1112.5
4455231,K01332.01,CONFIRMED,19.30581662,709.1
9527915,K00165.01,CONFIRMED,13.22175358,876.5
11336883,K01445.01,CONFIRMED,7.16893064,112.8
